Zip Code XXXXX,Type,Year,Currency,Amount,Zip_Code
Zip Code 10001,Families without Children,2019,Dollars,132545,10001
Zip Code 10001,Families without Children,2018,Dollars,122776.874,10001
Zip Code 10001,Families,2019,Dollars,122776,10001
Zip Code 10001,Families with Children,2017,Dollars,119270.1939,10001
Zip Code 10001,Families,2018,Dollars,115436.2439,10001
Zip Code 10001,Families,2017,Dollars,107739.4903,10001
Zip Code 10001,Families with Children,2019,Dollars,106452,10001
Zip Code 10001,Families with Children,2018,Dollars,106388.2301,10001
Zip Code 10001,Families without Children,2017,Dollars,101074.0845,10001
Zip Code 10001,All Households,2019,Dollars,92840,10001
Zip Code 10001,All Households,2018,Dollars,90129.90535,10001
Zip Code 10001,All Households,2017,Dollars,88880.07341,10001
Zip Code 10002,Families with Children,2019,Dollars,42054,10002
Zip Code 10002,Families with Children,2018,Dollars,41537.17415,10002
Zip Code 10002,Families,2018,Dollars,41220.53948,10002
Zip Code 10002,Families without Children,2017,Dollars,41001.99723,10002
Zip Code 10002,Families without Children,2018,Dollars,40995.53542,10002
Zip Code 10002,Families,2017,Dollars,40825.741,10002
Zip Code 10002,Families with Children,2017,Dollars,40248.99723,10002
Zip Code 10002,Families,2019,Dollars,40045,10002
Zip Code 10002,Families without Children,2019,Dollars,38639,10002
Zip Code 10002,All Households,2019,Dollars,36982,10002
Zip Code 10002,All Households,2017,Dollars,36971.04848,10002
Zip Code 10002,All Households,2018,Dollars,36508.68983,10002
Zip Code 10003,All Households,2017,Dollars,108925.3089,10003
Zip Code 10003,All Households,2019,Dollars,118161,10003
Zip Code 10003,All Households,2018,Dollars,114162.5784,10003
Zip Code 10003,Families,2018,Dollars,184413.7317,10003
Zip Code 10003,Families,2019,Dollars,183787,10003
Zip Code 10003,Families without Children,2017,Dollars,163035.9723,10003
Zip Code 10003,Families without Children,2018,Dollars,157088.4654,10003
Zip Code 10003,Families without Children,2019,Dollars,153480,10003
Zip Code 10003,Families with Children,2018,Dollars,254530.4935,10003
Zip Code 10003,Families with Children,2019,Dollars,250001,10003
Zip Code 10003,Families with Children,2017,Dollars,240175.7119,10003
Zip Code 10003,Families,2017,Dollars,191542.5499,10003
Zip Code 10004,Families,2018,Dollars,205416.4859,10004
Zip Code 10004,Families,2019,Dollars,205202,10004
Zip Code 10004,Families without Children,2018,Dollars,204718.0571,10004
Zip Code 10004,Families without Children,2019,Dollars,204130,10004
Zip Code 10004,Families,2017,Dollars,240599.144,10004
Zip Code 10004,Families with Children,2017,Dollars,232314.0582,10004
Zip Code 10004,Families with Children,2019,Dollars,244000,10004
Zip Code 10004,Families without Children,2017,Dollars,241158.1579,10004
Zip Code 10004,Families with Children,2018,Dollars,254530.4935,10004
Zip Code 10004,All Households,2017,Dollars,146480.4017,10004
Zip Code 10004,All Households,2018,Dollars,160501.1966,10004
Zip Code 10004,All Households,2019,Dollars,190223,10004
Zip Code 10005,All Households,2019,Dollars,189702,10005
Zip Code 10005,Families without Children,2017,Dollars,183817.5208,10005
Zip Code 10005,All Households,2018,Dollars,176473.4302,10005
Zip Code 10005,All Households,2017,Dollars,160834.3338,10005
Zip Code 10005,Families without Children,2018,Dollars,174989.0143,10005
Zip Code 10005,Families with Children,2018,Dollars,254530.4935,10005
Zip Code 10005,Families with Children,2017,Dollars,260735.115,10005
Zip Code 10005,Families,2019,Dollars,241094,10005
Zip Code 10005,Families with Children,2019,Dollars,250001,10005
Zip Code 10005,Families,2018,Dollars,239970.3894,10005
Zip Code 10005,Families,2017,Dollars,227720.9668,10005
Zip Code 10005,Families without Children,2019,Dollars,202042,10005
Zip Code 10006,Families,2018,Dollars,204498.1436,10006
Zip Code 10006,Families without Children,2017,Dollars,194182.2216,10006
Zip Code 10006,Families without Children,2018,Dollars,194162.2107,10006
Zip Code 10006,Families without Children,2019,Dollars,196500,10006
Zip Code 10006,Families,2017,Dollars,195159.4529,10006
Zip Code 10006,Families with Children,2017,Dollars,230532.723,10006
Zip Code 10006,Families with Children,2018,Dollars,230166.9321,10006
Zip Code 10006,Families with Children,2019,Dollars,250001,10006
Zip Code 10006,Families,2019,Dollars,245764,10006
Zip Code 10006,All Households,2019,Dollars,179044,10006
Zip Code 10006,All Households,2018,Dollars,179443.2802,10006
Zip Code 10006,All Households,2017,Dollars,152157.1039,10006
Zip Code 10007,Families,2019,Dollars,250001,10007
Zip Code 10007,Families without Children,2019,Dollars,250001,10007
Zip Code 10007,Families with Children,2019,Dollars,250001,10007
Zip Code 10007,All Households,2019,Dollars,224063,10007
Zip Code 10007,Families with Children,2017,Dollars,260735.115,10007
Zip Code 10007,Families,2017,Dollars,260735.115,10007
Zip Code 10007,Families without Children,2017,Dollars,260735.115,10007
Zip Code 10007,Families,2018,Dollars,254530.4935,10007
Zip Code 10007,Families with Children,2018,Dollars,254530.4935,10007
Zip Code 10007,Families without Children,2018,Dollars,254530.4935,10007
Zip Code 10007,All Households,2017,Dollars,253062.2327,10007
Zip Code 10007,All Households,2018,Dollars,251284.7336,10007
Zip Code 10009,Families with Children,2019,Dollars,76618,10009
Zip Code 10009,Families with Children,2018,Dollars,72373.92915,10009
Zip Code 10009,Families,2019,Dollars,71135,10009
Zip Code 10009,Families without Children,2019,Dollars,68646,10009
Zip Code 10009,Families with Children,2017,Dollars,66744.79363,10009
Zip Code 10009,Families,2017,Dollars,65601.73546,10009
Zip Code 10009,Families without Children,2017,Dollars,64758,10009
Zip Code 10009,Families,2018,Dollars,63982.60141,10009
Zip Code 10009,All Households,2019,Dollars,63717,10009
Zip Code 10009,All Households,2017,Dollars,63119.54709,10009
Zip Code 10009,All Households,2018,Dollars,62663.12061,10009
Zip Code 10009,Families without Children,2018,Dollars,59984.45241,10009
