"zip","population","city","county"
"11368",108661,"Corona","Queens"
"11385",105025,"Ridgewood","Queens"
"11211",104561,"Brooklyn","Kings"
"11208",102626,"Brooklyn","Kings"
"10467",100867,"Bronx","Bronx"
"11236",98821,"Brooklyn","Kings"
"11373",96495,"Elmhurst","Queens"
"11226",96332,"Brooklyn","Kings"
"10025",92162,"New York City","New York"
"11207",90867,"Brooklyn","Kings"
"11220",90657,"Brooklyn","Kings"
"10456",90479,"Bronx","Bronx"
"11234",90372,"Brooklyn","Kings"
"11214",90372,"Brooklyn","Kings"
"10314",89938,"Staten Island","Richmond"
"11219",87812,"Brooklyn","Kings"
"11206",87599,"Brooklyn","Kings"
"11230",87188,"Brooklyn","Kings"
"10458",85893,"Bronx","Bronx"
"11221",85582,"Brooklyn","Kings"
"11377",82021,"Woodside","Queens"
"11229",81909,"Brooklyn","Kings"
"11355",81358,"Flushing","Queens"
"11223",80500,"Brooklyn","Kings"
"11233",79796,"Brooklyn","Kings"
"10453",78858,"Bronx","Bronx"
"10468",78778,"Bronx","Bronx"
"11203",77589,"Brooklyn","Kings"
"11235",76921,"Brooklyn","Kings"
"11204",75840,"Brooklyn","Kings"
"10462",75441,"Bronx","Bronx"
"10457",74679,"Bronx","Bronx"
"10029",74617,"New York City","New York"
"10466",74519,"Bronx","Bronx"
"10452",74379,"Bronx","Bronx"
"10002",74363,"New York City","New York"
"11212",74037,"Brooklyn","Kings"
"11218",73280,"Brooklyn","Kings"
"11375",72615,"Forest Hills","Queens"
"10469",72550,"Bronx","Bronx"
"10463",70236,"Bronx","Bronx"
"11215",69995,"Brooklyn","Kings"
"11691",68454,"Far Rockaway","Queens"
"11209",68368,"Brooklyn","Kings"
"10472",67989,"Bronx","Bronx"
"11706",67484,"Bay Shore","Suffolk"
"11213",67382,"Brooklyn","Kings"
"11746",66518,"Huntington Station","Suffolk"
"11201",64798,"Brooklyn","Kings"
"10027",64728,"New York City","New York"
"10977",64677,"Spring Valley","Rockland"
"11432",64282,"Jamaica","Queens"
"14850",64224,"Ithaca","Tompkins"
"11372",63107,"Jackson Heights","Queens"
"11717",62888,"Brentwood","Suffolk"
"11434",62590,"Jamaica","Queens"
"11210",62423,"Brooklyn","Kings"
"10023",62228,"New York City","New York"
"10701",61367,"Yonkers","Westchester"
"10312",61114,"Staten Island","Richmond"
"10024",60714,"New York City","New York"
"10031",60280,"New York City","New York"
"10473",59627,"Bronx","Bronx"
"11216",59567,"Brooklyn","Kings"
"10032",59527,"New York City","New York"
"11435",59392,"Jamaica","Queens"
"10033",58648,"New York City","New York"
"10009",58267,"New York City","New York"
"10128",57993,"New York City","New York"
"10460",57514,"Bronx","Bronx"
"11550",57073,"Hempstead","Nassau"
"11225",56072,"Brooklyn","Kings"
"11238",55102,"Brooklyn","Kings"
"10003",54671,"New York City","New York"
"12550",54503,"Newburgh","Orange"
"10306",54318,"Staten Island","Richmond"
"14221",53727,"Buffalo","Erie"
"14580",53593,"Webster","Monroe"
"12180",53181,"Troy","Rensselaer"
"11758",53034,"Massapequa","Nassau"
"10950",53013,"Monroe","Orange"
"10016",52912,"New York City","New York"
"11354",52351,"Flushing","Queens"
"10461",51081,"Bronx","Bronx"
"10011",50228,"New York City","New York"
"14094",49792,"Lockport","Niagara"
"10940",49430,"Middletown","Orange"
"10451",49423,"Bronx","Bronx"
"10459",48391,"Bronx","Bronx"
"10028",47962,"New York City","New York"
"11419",47955,"South Richmond Hill","Queens"
"11205",47866,"Brooklyn","Kings"
"11590",47468,"Westbury","Nassau"
"11420",47266,"South Ozone Park","Queens"
"11237",46772,"Brooklyn","Kings"
"11772",46311,"Patchogue","Suffolk"
"11224",45587,"Brooklyn","Kings"
"10019",45521,"New York City","New York"
"10040",45197,"New York City","New York"
"10465",45066,"Bronx","Bronx"
"11003",44712,"Elmont","Nassau"
"11757",44130,"Lindenhurst","Suffolk"
"11228",43878,"Brooklyn","Kings"
"10475",43791,"Bronx","Bronx"
"14120",43738,"North Tonawanda","Niagara"
"11365",43730,"Fresh Meadows","Queens"
"11520",43451,"Freeport","Nassau"
"10952",43374,"Monsey","Rockland"
"11374",43173,"Rego Park","Queens"
"10305",42968,"Staten Island","Richmond"
"14075",42958,"Hamburg","Erie"
"11756",42856,"Levittown","Nassau"
"11743",42636,"Huntington","Suffolk"
"14450",42513,"Fairport","Monroe"
"11217",42461,"Brooklyn","Kings"
"12065",42432,"Clifton Park","Saratoga"
"10021",42253,"New York City","New York"
"12603",42140,"Poughkeepsie","Dutchess"
"10304",42133,"Staten Island","Richmond"
"13760",42103,"Endicott","Broome"
"10034",41933,"New York City","New York"
"11580",41930,"Valley Stream","Nassau"
"11413",41810,"Springfield Gardens","Queens"
"11040",41523,"New Hyde Park","Nassau"
"13440",41342,"Rome","Oneida"
"14215",41340,"Buffalo","Erie"
"14150",41144,"Tonawanda","Erie"
"10583",41087,"Scarsdale","Westchester"
"12601",41037,"Poughkeepsie","Dutchess"
"14224",40903,"Buffalo","Erie"
"10801",40445,"New Rochelle","Westchester"
"10455",40300,"Bronx","Bronx"
"11801",40179,"Hicksville","Nassau"
"11367",40141,"Flushing","Queens"
"11357",40118,"Whitestone","Queens"
"14609",40081,"Rochester","Monroe"
"11704",39960,"West Babylon","Suffolk"
"10705",39848,"Yonkers","Westchester"
"11421",39654,"Woodhaven","Queens"
